locationId,reportedZip,total_kwh,session_count,cluster,pca1,pca2
125372,0,-0.5374993161382905,-0.5417796716751475,0,-0.7631654910750352,0.0030266684260010263
125372,1,-0.45596723099700465,-0.47543051108829043,0,-0.6585976594103511,0.013762617336681372
144857,0,0.46916136889892185,0.5766776067890139,2,0.7395198317381322,-0.07602546089975004
144857,1,-0.27676475107821963,-0.3237752868897601,0,-0.42464593322118516,0.03324146865955336
202527,0,-0.7499702489425609,-0.7218702504109022,0,-1.040748397917828,-0.019869699513067777
202527,1,0.04885926731079212,0.2354533523423206,3,0.20103938133362764,-0.13194194285509295
310085,1,-0.7423549840829727,-0.7218702504109022,0,-1.0353635924950815,-0.014484894090321335
399399,0,-0.5863008920486312,-0.5891719292371882,0,-0.8311848030316855,0.0020301298650674455
399399,1,-0.5145526571242997,-0.4280382535262497,0,-0.6665124248058065,-0.061174921454490924
454147,0,-0.7264015925780077,-0.702913347386086,0,-1.0106782864998538,-0.01660869745338014
454147,1,-0.7418170404284323,-0.7218702504109022,0,-1.0349832088890598,-0.014104510484299563
461655,0,-0.4957750614329973,-0.3427321899145764,0,-0.5929141635019621,-0.1082176522629369
461655,1,2.5132127702389693,2.6050662304443577,1,3.619169789387886,-0.06495020458667877
481066,0,0.47449037322671306,0.3776301250284428,3,0.6025401827042802,0.06849053832840904
481066,1,0.8066873906446408,0.775725088549585,2,1.1189345946724534,0.021893653772560445
493904,1,3.9632903232703462,4.235359890578559,4,5.797321162789099,-0.19238223599812693
503205,0,-0.6922085490362809,-0.6744779928488616,0,-0.9663933215233766,-0.012537396514333268
503205,1,0.838863145481841,0.8041604430868095,2,1.1617931211263488,0.024538516189025587
517854,1,0.3052566616561307,-0.2858614808401275,3,0.013714463877335034,0.4179836470415001
566549,0,-0.7290408786330969,-0.702913347386086,0,-1.0125445435668983,-0.018474954520424716
566549,1,0.4881406934606768,0.7378112824999524,2,0.8668789556108081,-0.17654376657251142
572514,0,-0.7427080096062649,-0.7218702504109022,0,-1.0356132192365335,-0.014734520831773238
572514,1,-0.7419683370812719,-0.6934348958736778,0,-1.0149833597595384,-0.034318325392208276
620906,0,-0.7287214745882135,-0.6744779928488616,0,-0.9922118587821077,-0.03835593377306434
620906,1,-0.5782485479697289,-0.5607365746999637,0,-0.8053841039103313,-0.012382835051008432
648339,0,-0.6305971898521958,-0.5607365746999637,0,-0.8424001835713297,-0.04939891471200689
648339,1,-0.3399731304867216,-0.20055541722845419,0,-0.3822114015143171,-0.09858321046244245
700367,1,-0.7215432889479394,-0.6934348958736778,0,-1.0005406697183974,-0.019875635351067317
747048,0,-0.7187863277184197,-0.7123917988984941,0,-1.011995758416679,-0.004521614691062034
747048,1,-0.3093775851347339,-0.29533993235253564,0,-0.42759985731754285,-0.00992611947423451
751082,0,-0.3024683713217301,-0.43751670503865786,0,-0.5232484654712755,0.09549359255918356
751082,1,-0.7420019585596807,-0.7218702504109022,0,-1.03511396575363,-0.014235267348869655
814002,1,0.30258375412263283,0.2923240614167695,3,0.42066335054878706,0.0072546982852061985
868085,0,0.4821896917823232,0.09327657965619839,3,0.406916102878317,0.275003098876747
868085,1,1.285457243185635,1.230690761145176,2,1.779185316331315,0.038725750832539894
878393,0,-0.22602994015937408,-0.5417796716751475,0,-0.542923383188401,0.2232687763126352
928191,0,-0.41968965579393347,-0.3996028989890253,0,-0.579327321262681,-0.014203481948795525
928191,1,0.7344348335441776,1.164341600558319,2,1.3426376925110868,-0.30398999023368445
948590,0,-0.11407041705814441,-0.1815985142036379,3,-0.2090695062813855,0.047749575412202455
948590,1,-0.545433985042762,-0.5607365746999637,0,-0.7821807039430003,0.010820564916322575
976902,0,2.7562120054384103,2.1406221063363584,1,3.462584606781543,0.43528779208500357
976902,1,0.06193802241180668,0.197539546292688,3,0.18347834839674643,-0.09588475707540066
978130,0,0.11709405774140635,0.2164964493175043,3,0.23588410968081452,-0.07028810514961933
978130,1,-0.5376001805735168,-0.49438741411310677,0,-0.7297254263033057,-0.030556040197986436
